from	to	weight
g620	g671	0.164
g642	g693	0.025
g656	g707	0.499
g634	g685	0.916
g640	g691	0.286
g203	g664	0.357
g628	g679	0.072
g627	g678	0.17
g619	g670	0.067
g622	g673	0.025
g646	g697	0.359
g643	g694	0.23
g655	g706	0.249
g659	g710	0.367
g629	g680	0.399
g661	g712	0.196
g638	g689	0.22
g630	g681	0.051
g618	g669	0.212
g657	g708	0.043
g639	g690	0.125
g632	g683	0.151
g617	g668	0.225
g660	g711	0.244
g648	g699	0.017
g645	g696	0.075
g625	g676	0.244
g615	g666	0.415
g644	g695	0.164
g613	g665	0.022
g654	g705	0.178
g649	g700	0.805
g651	g702	0.207
g614	g517	0.072
g650	g701	0.246
g633	g684	0.08
g636	g687	0.475
g612	g663	0.149
g647	g698	0.244
g626	g677	0.172
g653	g704	0.357
g616	g667	1
g631	g682	0.001
g635	g686	0.423
g611	g662	0.22
g637	g688	0.056
g623	g674	0.101
g652	g703	0.128
g621	g672	0.191
g658	g709	0.212
g641	g692	0.283
g624	g675	0.075
