from	to	weight
p93	p206	0.006
p4	p117	0.043
p50	p162	0.753
p65	p177	0.782
p30	p142	0.705
p60	p172	0.001
p81	p194	0.744
p1	p114	0.06
p112	p223	0.804
p86	p198	0.717
p46	p158	0.042
p16	p129	0.669
p103	p149	0.869
p11	p149	0.729
p106	p218	0.049
p19	p132	0.727
p77	p121	0.028
p8	p121	0.84
p37	p150	0.018
p104	p150	0.021
p18	p131	0.003
p66	p178	0.048
p76	p189	0.075
p68	p106	0.042
p95	p208	0.049
p96	p187	0.42
p74	p187	0.446
p87	p200	0.735
p36	p148	0.741
p82	p195	0.004
p59	p171	0.833
p42	p90	0.803
p48	p160	0.821
p20	p134	0.513
p9	p128	0.782
p49	p161	0.366
p27	p139	0.361
p75	p188	0.007
p88	p201	0.051
p90	p203	0.766
p12	p125	0.043
p99	p211	0.782
p55	p167	0.072
p28	p140	0.884
p110	p221	0.602
p57	p26	0.052
p47	p159	0.036
p97	p209	0.815
p79	p191	0.875
p26	p70	0.058
p24	p168	0.961
p61	p173	0.057
p47	p52	0.028
p41	p52	0.045
p78	p190	0.675
p32	p179	0.058
p53	p165	0.804
p113	p224	0.048
p73	p186	0.873
p6	p193	0.72
p67	p180	0.069
p3	p116	0.073
p23	p58	0.094
p25	p138	0.339
p52	p164	0.039
p39	p152	0.006
p101	p213	0.669
p98	p210	0.747
p9	p122	0.049
p111	p222	0.055
p16	p133	0.682
p70	p183	0.087
p24	p137	0.138
p80	p192	0.967
p108	p219	0.759
p38	p151	0.73
p6	p119	0.673
p71	p184	0.34
p2	p115	0.067
p51	p163	0.741
p22	p136	0.73
p13	p77	0.028
p56	p169	0.018
p5	p118	0.782
p22	p181	0.797
p84	p145	1
p33	p145	0.105
p35	p147	0.031
p64	p176	0.054
p85	p66	0.09
p31	p143	0.046
p43	p155	0.801
p109	p220	0.079
p63	p175	0.887
p40	p197	0.783
p45	p157	0.07
p34	p216	0.051
p83	p196	0.604
p72	p185	0.128
p39	p199	0.048
p102	p214	0.006
p11	p124	0.73
p89	p202	0.905
p100	p212	0.006
p41	p153	0.043
p10	p123	0.8
p14	p126	0.803
p34	p146	0.797
p29	p141	0.109
p29	p154	0.04
p92	p205	0.088
p45	p215	0.119
p69	p182	0.018
p62	p174	0.003
p44	p156	0.73
p58	p170	0.669
p40	p144	0.712
p32	p144	0.726
p15	p127	0.726
p17	p130	0.054
p94	p207	0.873
p105	p217	0.73
p54	p166	0.73
p21	p135	0.078
p91	p204	0.81
p107	p204	0.043
p7	p120	0.019
